(-472.7204944694109, (4, 4, 1, 8))
(-464.9153427583768, (1, 7, 4, 5))
(-464.9153427583768, (4, 5, 1, 7))
(-462.83539917255086, (1, 6, 5, 5))
(-462.83539917255086, (5, 5, 1, 6))
(-462.7948240613875, (1, 6, 4, 6))
(-462.7948240613875, (4, 6, 1, 6))
(-461.23807729937755, (2, 5, 2, 8))
(-461.23807729937755, (2, 8, 2, 5))
(-453.91781376518213, (0, 6, 1, 9))
(-453.91781376518213, (1, 9, 0, 6))
(-451.373569258399, (2, 6, 2, 7))
(-451.37356925839896, (2, 7, 2, 6))
(-450.97435722172565, (0, 9, 1, 6))
(-450.97435722172565, (1, 6, 0, 9))
(-446.089375536744, (0, 7, 1, 8))
(-446.089375536744, (1, 8, 0, 7))
(-445.2241074714759, (0, 8, 1, 7))
(-445.2241074714759, (1, 7, 0, 8))
(-417.24459668298675, (2, 8, 3, 4))
(-417.24459668298675, (3, 4, 2, 8))
(-411.0186383276166, (2, 5, 3, 7))
(-411.0186383276166, (3, 7, 2, 5))
(-408.53578784476616, (2, 7, 3, 5))
(-408.53578784476616, (3, 5, 2, 7))
(-404.39648792899567, (2, 6, 3, 6))
(-404.39648792899567, (3, 6, 2, 6))
(-391.24506556395096, (2, 5, 5, 5))
(-391.24506556395096, (5, 5, 2, 5))
(-390.590116591355, (2, 7, 4, 4))
(-390.590116591355, (4, 4, 2, 7))
(-390.08936636119296, (2, 5, 4, 6))
(-390.08936636119296, (4, 6, 2, 5))
(-387.6065158783425, (2, 6, 4, 5))
(-387.6065158783425, (4, 5, 2, 6))
(-379.95103235258034, (0, 9, 2, 5))
(-379.95103235258034, (2, 5, 0, 9))
(-374.72359312514106, (0, 6, 2, 8))
(-374.72359312514106, (2, 8, 0, 6))
(-370.9148685164165, (0, 8, 2, 6))
(-370.9148685164165, (2, 6, 0, 8))
(-370.35697099598025, (3, 4, 3, 7))
(-370.35697099598025, (3, 7, 3, 4))
(-369.37800537955343, (0, 7, 2, 7))
(-369.37800537955343, (2, 7, 0, 7))
(-365.3545890641866, (3, 5, 3, 6))
(-365.3545890641866, (3, 6, 3, 5))
(-352.62666085204785, (3, 4, 5, 5))
(-352.62666085204785, (5, 5, 3, 4))
(-351.00689238522057, (3, 4, 4, 6))
